Question_Number,English_Question,Korean_Question
a1,i find going to art galleries boring,미술관에 가는 것을 지루하게 느낀다.
a2,i clean my office or room very frequently,사무실이나 방을 매우 자주 청소한다.
a3,i dont hold much of a grudge even against people who have treated me unfairly,나를 부당하게 대우한 사람에게도 큰 원한을 품지 않는 편이다.
a4,overall i am quite satisfied with myself,전반적으로 내 자신에 대해 만족하는 편이다.
a5,i would be scared to fly in bad weather,기상이 나쁜 날씨에 비행기 여행을 하게 된다면 겁이 날 것이다.
a6,i am very interested in learning about the history and politics of other countries,다른 나라의 역사와 정치를 배우는 것에 관심이 많다.
a7,when working i set ambitious goals,일을 할 때 나는 야심찬 목표를 세운다.
a8,i sometimes hear that i am too critical of others,나는 가끔씩 다른 사람을 너무 비판적으로 평가한다는 얘기를 듣는다.
a9,i usually dont express my opinions in group gatherings,단체 모임에서 나의 의견을 잘 나타내지 않는 편이다.
a10,i sometimes worry excessively about trivial things,때때로 사소한 것에 대해 지나치게 걱정을 한다.
a11,if i were sure i wouldnt get caught i could steal millions of won,나는 잡히지 않을 자신만 있으면 남의 돈 몇천만원쯤은 훔칠 수도 있다.
a12,i would prefer a job that involves just following a routine over one that requires creativity,창의성을 요구하는 직업보다는 그냥 일상적 일과를 수행하는 직업을 갖고 싶다.
a13,i often check and recheck the work i have done to spot errors,오류를 찾아내기 위해 내가 한 일을 반복적으로 점검하는 편이다.
a14,people often say that i am very stubborn,사람들은 종종 내가 너무 고집이 세다고 말한다.
a15,i dont enjoy making small talk with others,다른 사람들과 잡담하는 것을 좋아하지 않는다.
a16,when i am in pain or going through tough times i need someone to comfort me,내가 고통스럽고 힘들 때 나를 위로해 줄 수 있는 사람이 꼭 필요하다.
a17,earning a lot of money is not very important in my life,많은 돈을 버는 것이 내 인생에서 그다지 중요하지 않다.
a18,i think its a waste of time to be interested in radical ideas,급진적 사상에 관심을 갖는 것은 시간 낭비일 뿐이다.
a19,i tend to make decisions based on momentary feelings rather than careful thought,나는 주의깊게 생각하기보다는 순간적 기분에 따라 결정하는 편이다.
a20,i often hear that i have a quick temper,내가 화를 잘 내는 편이라는 얘기를 자주 듣는다.
a21,i am always energetic,나는 언제나 원기왕성하다.
a22,when i see someone else cry i feel like crying too,다른 사람이 우는 것을 보면 나도 울고 싶어진다.
a23,i consider myself an ordinary person and dont think im superior to others,"나는 보통사람이며, 남들보다 특별히 더 우월하다고 생각하지 않는다."
a24,attention check check what is written here,주의집중 체크가 있습니다. “(여기 써있는 것)”에 체크하세요.
a25,i rarely spend time reading poetry,시집을 읽으며 시간을 보내는 일은 거의 없다.
a26,i tend to plan ahead to avoid rushing at the last minute,막판에 서두르는 것을 피하기 위해 미리 계획을 세우는 편이다.
a27,even if someone has troubled me i dont dwell on it and just forgive them,다른 사람이 나를 괴롭혔더라도 신경쓰지 않고 그냥 용서해주는 편이다.
a28,i think some aspects of my personality are likable to others,내 성격의 어떤 면은 사람들이 좋아할만 하다고 생각한다.
a29,i wouldnt mind having a job that involves some risk,위험이 수반되는 직업을 갖는 것도 개의치 않을 것이다.
a30,i wouldnt flatter my boss just to get a promotion or raise,승진이나 월급인상에 도움이 된다하더라도 상사에게 아부를 하지 않을 것이다.
a31,i enjoy looking at maps of different regions,여러 다른 지역의 지도를 보는 것을 즐긴다.
a32,i push myself very hard to achieve my goals,정한 목표를 이루기 위해 내 자신을 매우 심하게 다그치는 편이다.
a33,i tend to accept other peoples mistakes without complaining,나는 다른 사람의 실수를 불평없이 그냥 받아들이는 편이다.
a34,in groups i speak up and assert my opinions without worrying about others reactions,단체에서 나는 다른 사람의 눈치를 보지않고 내 의견을 적극적으로 말한다.
a35,i dont worry excessively compared to others,다른 사람에 비해 쓸데없는 걱정을 하지 않는 편이다.
a36,if i were in financial trouble i might feel tempted to find ways to buy stolen goods cheaply,"만일 내가 금전적으로 어려운 상태에 있으면, 장물을 싸게 살 수 있는 방법을 알아보고 싶은 유혹을 느낄 것이다."
a37,i enjoy creating artistic or creative works such as novels music or paintings,"나는 소설, 음악, 그림 등의 예술작품을 창조하는 것을 좋아하는 편이다."
a38,i tend to make a lot of mistakes because i dont pay much attention to details,일을 할 때 사소한 부분에는 크게 신경을 안쓰므로 실수가 잦은 편이다.
a39,when my opinion differs from others i dont insist on my way,내 의견이 다른 사람들과 다를 때 내 의견만을 고집하지 않는다.
a40,i enjoy being around a lot of people to talk with,나는 같이 얘기할 수 있는 사람이 주변에 많이 있는 것을 좋아한다.
a41,even without emotional support from others i can get through difficult situations well,"다른 사람들의 정서적 지원이 없더라도, 나는 어떤 어려운 상황도 잘 헤쳐나갈 수 있다."
a42,i want to live in a neighborhood where wealthy or upperclass people reside,나는 부자 혹은 상류층 사람들이 사는 동네에 살고 싶다.
a43,i like people who have unconventional viewpoints,나는 관습에 얽매이지 않은 관점을 가진 사람을 좋아한다.
a44,i often make mistakes because i dont think deeply before acting,행동하기 전에 깊게 생각하지 않기 때문에 실수를 많이 저지른다.
a45,even if someone treats me badly i dont easily get angry,어떤 사람이 나를 기분 나쁘게 대해도 화를 잘 내지 않는다.
a46,i am cheerful and optimistic almost every day,나는 거의 매일 명랑하고 낙천적인 편이다.
a47,if a close friend goes through misfortune i feel their pain as if it were my own,"친한 사람이 불행을 겪는다면, 그 사람의 고통을 내 것처럼 느낄 것이다."
a48,i feel uncomfortable when others treat me like someone important,다른 사람이 나를 높은 사람처럼 대접하면 좀 불편해진다.
a49,if i had the chance i would love to attend a classical music concert,기회만 있다면 클래식 음악회에 가보고 싶다.
a50,people sometimes tease me about my messy room or desk,다른 사람들이 내 방이나 책상이 지저분하다고 가끔씩 놀린다.
a51,i will always be suspicious of someone who has deceived me even if it was just once,나를 단 한번이라도 속였던 사람에 대해서는 언제나 의심을 품을 것이다.
a52,i feel like im not particularly popular,나는 별로 인기가 없는 편이라고 느낀다.
a53,i get more scared than others in dangerous situations,위험한 상황에 처하면 다른 사람보다 무서움을 많이 탄다.
a54,if there is something to gain i will flatter someone even if i dont like them,"어떤 사람에게서 얻어낼 것이 있으면, 싫더라도 그 사람의 비위를 맞추어 줄 것이다."
a55,i find reading books about the history of science and technology boring,과학과 기술의 역사에 관한 책을 읽는 것이 지루하게 느껴진다.
a56,even after setting a goal i often fail to accomplish it,목표를 세우고 나서도 종종 나는 그것을 달성하지 못한채 끝낼 때가 있다.
a57,i am very lenient when it comes to judging others,다른 사람을 판단하는데 있어서 나는 매우 관대한 편이다.
a58,i often represent the group i belong to,나는 종종 내가 속한 집단의 대변인 역할을 한다.
a59,i rarely experience insomnia due to stress or anxiety,스트레스나 불안으로 인한 불면증을 경험한 적이 거의 없다.
a60,i would never accept a bribe no matter the amount,나는 많든 적든 뇌물은 받지 않을 것이다.
a61,people often say i have a rich imagination,풍부한 상상력을 가지고 있다는 말을 듣곤한다.
a62,i always try to finish tasks accurately even if it takes a long time,시간이 오래 걸리더라도 나는 항상 일을 정확하게 마무리하고자 한다.
a63,if someone tells me im wrong i immediately start arguing with them,"누군가 내 의견이 틀렸다고 말하면, 나는 즉각 그 사람과 논쟁을 시작할 것이다."
a64,i prefer interacting with others rather than working alone,주로 혼자 하는 일보다는 다른 사람들과 적극적으로 상호작용하는 일을 더 좋아한다.
a65,when i have worries i want to share and discuss them with others,걱정거리가 있으면 다른 사람에게 그 걱정거리를 털어놓고 상의하고 싶다.
a66,i want to show off by driving a very expensive luxury car,나는 내가 매우 비싼 최고급 승용차를 타고 가는 모습을 사람들에게 보여주고 싶다.
a67,i think of myself as a bit eccentric,나는 내가 약간 괴짜라고 생각한다.
a68,i dont act impulsively,나는 충동적으로 행동하지 않는다.
a69,compared to others im not quick to anger,나는 다른 사람들보다 화를 잘 내지 않는 편이다.
a70,people often tell me i need to be more outgoing,나는 종종 사람들로부터 좀 더 활달해질 필요가 있다는 소리를 듣는다.
a71,if i had to be separated from a close friend for a long time i would feel very sad at the moment of parting,친한 사람과 오랫동안 떨어져 있어야 한다면 이별의 순간에 매우 슬픈 감정을 느낄 것이다.
a72,i think i am more deserving of respect than the average person,나는 보통사람들보다 더 존경을 받을 만하다고 생각한다.
a73,sometimes i like spending time watching leaves swaying in the wind,나는 가끔 바람에 흔들리는 나뭇잎을 바라보며 시간을 보내는 것을 좋아한다.
a74,when doing something i sometimes have difficulties because i dont plan well enough,"어떤 일을 할 때, 나는 때때로 너무 무계획적으로 하기 때문에 어려움을 겪는다."
a75,attention check check what is written here,주의집중 체크가 있습니다. “(여기 써있는 것)”에 체크하세요.
a76,its hard for me to completely forgive and forget when someone has wronged me,나를 불쾌하게 했던 사람을 완전히 용서하고 없었던 일로 하기는 어렵다.
a77,i sometimes think i am a worthless person,나는 가끔 하찮은 인간이라고 생각할 때가 있다.
a78,even in extremely urgent situations i do not panic,굉장히 위급한 상황에 처해도 공포에 질리지 않는다.
a79,i wouldnt pretend to like someone just to get a favor,"무언가를 청탁하기 위해, 어떤 사람을 좋아하는 척 하지는 않을 것이다."
a80,i rarely spend time flipping through encyclopedias,백과사전을 훑어보면서 시간을 보낸 적이 거의 없다.
a81,i want to live doing just the minimum work required for survival,나는 살아가는데 요구되는 최소한의 일만을 하면서 살고 싶다.
a82,even if someone repeatedly makes mistakes i dont like to say unpleasant things to them,어떤 사람이 계속해서 실수를 저질러도 나는 싫은 소리를 잘 하지 않는다.
a83,i feel awkward when i have to give a presentation in front of many people,여러 사람 앞에서 발표할 때면 어색함을 느낀다.
a84,i tend to worry a lot when i am waiting for an important outcome,중요한 결과를 기다릴 때면 걱정을 매우 많이 하는 편이다.
